"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"CHEA_gene_set_library_crisp","3172","HNF4A","1.2357239667953608e-23","22.908078530125703","6491","231","146","21585","APOC3,TTR,ALB,FABP1,SERPINA1,GC,FGB,RBP4,APOA1,HP,AMBP,TF,APOA2,ALDOB,FETUB,VTN,APOH,PCK1,APOA4,C3,FGG,BHMT,CAT,KNG1,F2,ORM1,ASS1,APOB,HRG,HMGCS2,BAAT,RGN,AGT,APOC4,SDC2,IGF1,SERPINC1,PLG,MAT1A,CPS1,CFI,CLU,ITIH3,HAO2,ACSL1,CYP2E1,SULT1B1,PHYH,CP,CPB2,SERPINF1,HPD,OTC,SLC38A4,SLC10A1,SAA4,ERRFI1,FBP1,CYB5A,PAH,ALDH8A1,AKR1D1,FGA,FGL1,GJB1,ASGR1,APOM,PECR,MT2A,NDRG2,ALDH6A1,STARD10,SLC27A2,TST,SLC25A15,HMGCS1,AMACR,GPD1,GAMT,THRSP,SCP2,COMT,SLC38A3,HSD17B4,C8A,C4BPB,ACOX1,C1S,GLUD1,FN1,MPC1,LDHA,AHCY,ACADM,P4HB,PROC,ST6GAL1,HSD17B13,HADH,FAH,G6PC,COX7C,LIPC,ALDH2,ETFB,FTCD,NDUFA6,CREB3L3,CTH,PTMS,ATOX1,ALDH3A2,ADTRP,PEMT,PRDX1,METTL7B,LAMP2,MASP2,CD302,PEBP1,GHR,TRAM1,UGP2,SCD,CALD1,SLC22A1,COL18A1,AS3MT,EPHX1,SERP1,DIO1,SERPINA6,FTH1,KRT18,KYNU,ACAA2,NDUFA11,SLC6A13,COX6C,MBL2,CPQ,NDUFA2,INSIG2,HGD,HSPA5,C8B"
"CHEA_gene_set_library_crisp","2099","ESR1","1.061763689544813e-18","17.973972130850168","2253","231","76","21585","TTR,SERPINA1,GC,FGB,TF,APOA2,PCK1,C3,FGG,KNG1,ARG1,ASS1,AGT,IGF1,SERPINC1,PLG,MAT1A,CA3,MGST1,ACSL1,CPB2,GRHPR,C9,SAA4,PAH,UOX,ITIH1,FGL1,GJB1,ASGR1,PGRMC1,PON1,VKORC1,SULT1A1,NDRG2,SLC27A2,IGFBP4,SERPIND1,SLC25A15,COMT,SLC38A3,ACOX1,FN1,AHCY,APOF,ACADM,PROC,SOD1,FAH,G6PC,LCAT,LIPC,ALDH2,NDUFA4,ETFB,LECT2,SLCO2A1,PEMT,F12,GHR,UGP2,CALD1,SLC22A1,AS3MT,GNMT,SERPINA6,GPX4,KRT18,KYNU,ACAA2,COX6C,CPQ,INSIG2,HGD,ZFP36L1,RPS27L"
"CHEA_gene_set_library_crisp","1050","CEBPA","1.4609704895056978e-18","17.8353585563958","537","231","38","21585","APOC3,GC,FGB,HPX,HP,TF,APOH,C3,KNG1,F2,ORM1,APOB,HRG,SERPINC1,MAT1A,CPS1,CPB2,C9,SERPINF1,SLC10A1,SAA4,AKR1D1,FGA,F9,SERPIND1,CFH,PCBD1,PROC,HSD17B13,ETFB,CTH,SLCO2A1,PEMT,TTC36,AGMO,KYNU,INSIG2,CANX"
"CHEA_gene_set_library_crisp","3170","FOXA2","1.0060722231285542e-12","11.99737084136724","2936","231","77","21585","FABP1,SERPINA1,FGB,RBP4,APOA1,HPX,AMBP,TF,APOA2,FETUB,APOH,PCK1,APOA4,C3,FGG,SERPINA4,F2,APOB,HMGCS2,BAAT,RGN,SDC2,PLG,MAT1A,CPS1,CLU,ACSL1,PHYH,CP,C4BPA,CPB2,C9,SERPINF1,HPD,SLC38A4,SLC10A1,FBP1,PAH,AKR1D1,FGA,FGL1,VKORC1,ALDH6A1,STARD10,IGFBP4,GAMT,SLC38A3,C4BPB,ACOX1,GLUD1,FN1,MPC1,AHCY,PROC,ST6GAL1,G6PC,LIPC,ETFB,NDUFA6,CREB3L3,ALDH3A2,SLCO2A1,PEMT,PRDX1,CD302,TRAM1,CALD1,SLC22A1,COL18A1,SERPINA6,FTH1,KRT18,NDUFA11,MBL2,CPQ,INSIG2,C8B"
"CHEA_gene_set_library_crisp","8856","NR1I2","8.346586671855198e-10","9.078491092498165","813","231","34","21585","FGB,HP,AMBP,ALDOB,FETUB,ARG1,ORM1,BAAT,MAT1A,CPS1,CP,GSTM1,ERRFI1,AKR1D1,GJB1,PGRMC1,STARD10,BHMT2,GPD1,THRSP,SCP2,COMT,C8A,LIPC,ADTRP,PEBP1,SULT1E1,COL18A1,EPHX1,AGMO,DIO1,GPX4,SLC6A13,INSIG2"
"CHEA_gene_set_library_crisp","1051","CEBPB","6.992399463220891e-7","6.15537376920131","1742","231","46","21585","HPX,HP,AMBP,TF,VTN,PCK1,C3,KNG1,F2,ORM1,APOB,HMGCS2,ITIH4,CDO1,SERPINC1,MAT1A,AZGP1,ITIH3,CPB2,C9,SLC10A1,UOX,AKR1D1,F9,C1R,ALDH6A1,TST,DPYS,C1S,APOF,PCBD1,PROC,ST6GAL1,LIPC,LECT2,CREB3L3,PTMS,SLCO2A1,CD302,UGP2,FADS1,TTC36,NDUFA11,HHEX,INSIG2,CANX"
"CHEA_gene_set_library_crisp","54457","TAF7L","0.000001865461866482871","5.729213624320999","731","231","27","21585","APOC3,CAT,ORM1,MGST1,ACSL1,SERPINF1,DBI,CYB5A,PGRMC1,SULT1A1,ALDH6A1,GPD1,HSD17B4,GLUD1,MPC1,ACADM,P4HB,ALDH9A1,FAH,ETFB,PTMS,FXYD1,SCD,ACAA2,NDUFA2,HSPA5,CANX"
"CHEA_gene_set_library_crisp","2308","FOXO1","0.000007516350757665895","5.123992961333038","326","231","17","21585","FABP1,PCK1,PLG,MAT1A,AZGP1,APOA5,GRHPR,AFM,UOX,RBP1,STARD10,SCP2,C8A,AHCY,GHR,GNMT,ZFP36L1"
"CHEA_gene_set_library_crisp","1958","EGR1","0.0000743245742944039","4.128867569605308","6645","231","106","21585","APOC3,ALB,FABP1,SERPINA1,GC,FGB,APOA1,APOA2,FETUB,APOA4,C3,FGG,KNG1,ORM1,ASS1,RARRES2,HRG,APOC4,SDC2,SERPINC1,PLG,MAT1A,CPS1,HAMP,CLU,MGST1,ACSL1,CYP2E1,SULT1B1,HSD11B1,TDO2,TMEM205,GRHPR,C9,SERPINF1,HPD,SLC10A1,AKR1D1,ITIH1,FGL1,ASGR1,RBP1,C1R,NDRG2,SERPIND1,SLC25A15,HMGCS1,THRSP,SCP2,COMT,SLC38A3,HSD17B4,C1S,CFH,AHCY,ACADM,P4HB,PCBD1,SOD1,HSD17B13,HADH,FAH,G6PC,LCAT,LIPC,ALDH2,NDUFA4,ETFB,LECT2,FTCD,CREB3L3,CTH,PTMS,ALDH3A2,ADTRP,PEMT,CMBL,PRDX1,METTL7B,MASP2,CD302,FXYD1,GHR,TRAM1,SCD,CALD1,SLC22A1,COL18A1,EPHX1,GNMT,AGMO,GLTPD2,GPX4,STAC3,NDUFB9,COX5B,KRT18,ACAA2,SLC6A13,HHEX,GCSH,CPQ,INSIG2,ITGAL,HGD,ZFP36L1"
"CHEA_gene_set_library_crisp","5970","RELA","0.005497616436358491","2.2598255637620817","1180","231","28","21585","APOC3,SERPINA1,TF,C3,APOE,ORM1,ASS1,AGT,HAMP,CYP2E1,C4BPA,CYB5A,GJB1,HMGCS1,AMACR,PIGR,C1S,FN1,ST6GAL1,SOD1,G6PC,ATOX1,UGP2,CALD1,GPX4,FTH1,KRT18,ZFP36L1"
"CHEA_gene_set_library_crisp","5468","PPARG","0.006962562081474896","2.157230919427296","4432","231","72","21585","APOC1,APOA1,HP,PCK1,C3,APOC2,CAT,KNG1,ARG1,HMGCS2,CDO1,AGT,IGF1,CFI,CA3,MGST1,ACSL1,HSD11B1,PHYH,GRHPR,SLC38A4,ERRFI1,DBI,FBP1,CYB5A,ANGPTL3,PAH,AKR1D1,FGL1,PECR,SULT1A1,IGFBP4,GPD1,THRSP,SCP2,COMT,SLC38A3,ACOX1,UQCRQ,GLUD1,MPC1,LDHA,APOF,ACADM,P4HB,ALDH9A1,SOD1,TMEM86B,HSD17B13,HADH,FAH,G6PC,LIPC,NDUFA4,ETFB,CD164,CTH,PEMT,CMBL,FADS1,SCD,CALD1,SLC22A1,EPHX1,GPX4,FTH1,NDUFB9,ACAA2,GCSH,HSPA5,ZFP36L1,CANX"
"CHEA_gene_set_library_crisp","9575","CLOCK","0.01037530443639757","1.9839991511837942","405","231","14","21585","PCK1,SDC2,CLU,FABP7,PGRMC1,SULT1A1,IGFBP4,COMT,CALD1,COL18A1,EPHX1,PXMP2,HSPA5,ZFP36L1"
